Item,Price,Link(s)
PCBA with Shipping,23.70,https://drive.google.com/file/d/1tTTwlWeRphZ-9i0kK5U_lvQkYqb0Y-xP/view?usp=sharing
3D Printed Case,0,https://drive.google.com/file/d/13oy0qqT2DSo7sinWwlIDC1kgef5WgOwt/view?usp=sharing
